#	Time_ps	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30
720	0	0	0	0	2	6	9	14	16	19	20	20	24	28	32	38	42	43	44	47	50	55	59	68	73	79	82	84	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
730	0	0	0	0	0	4	7	11	17	18	21	23	24	28	31	38	39	44	47	50	51	55	58	66	73	76	80	83	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
740	0	0	0	0	0	2	6	9	15	17	20	23	25	27	30	36	41	44	46	48	51	55	56	60	70	74	81	84	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
750	0	0	0	0	1	3	9	13	15	18	20	22	25	26	28	31	37	40	44	48	50	53	62	67	72	76	81	84	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
760	0	0	0	0	0	7	13	15	16	18	20	25	25	26	29	34	40	43	45	48	53	53	60	66	73	74	80	82	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
770	0	0	0	0	3	10	12	13	14	17	22	25	26	28	31	34	38	43	46	51	53	58	65	70	76	81	83	85	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
780	0	0	0	0	3	8	9	13	15	17	21	23	26	27	29	33	38	41	45	49	54	59	64	68	70	76	80	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
790	0	0	0	0	4	5	10	12	14	17	21	23	25	26	28	31	37	39	47	50	53	58	63	70	75	78	80	84	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
800	0	0	0	0	3	6	8	12	14	17	21	23	24	28	29	32	35	39	41	49	53	58	65	68	75	82	83	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
810	0	0	0	0	4	10	10	12	14	18	21	22	25	27	30	32	35	39	42	45	52	58	62	70	74	81	85	85	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
